Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J3         usb_typeB_mini_smd        4.75mm          74mm        4.75mm          74mm         7.5mm        72.4mm  B         90.00 Mini USB Type B
J1         usb_typeB_mini_smd      283.25mm       82.25mm      283.25mm       82.25mm       280.5mm       83.85mm  B        270.00 Mini USB Type B
R59        0603_[1608]        272.5002mm       34.75mm       272.5mm       34.75mm    271.8002mm       34.75mm  T        360.00 33R            
R58        0603_[1608]        272.5002mm       36.25mm       272.5mm       36.25mm    271.8002mm       36.25mm  T        360.00 33R            
R57        0603_[1608]          280.75mm        67.2mm      280.75mm     67.2002mm      280.75mm        67.9mm  B        270.00 33R            
R56        0603_[1608]           279.5mm        67.2mm       279.5mm     67.2002mm       279.5mm        67.9mm  B        270.00 33R            
R55        0603_[1608]             280mm     61.2498mm         280mm       61.25mm         280mm     61.9498mm  B        270.00 33R            
R54        0603_[1608]          278.75mm     61.2498mm      278.75mm       61.25mm      278.75mm     61.9498mm  B        270.00 33R            
C49        0603_[1608]        272.5002mm       33.25mm       272.5mm       33.25mm    271.8002mm       33.25mm  T        360.00 100nF          
C48        0603_[1608]        272.5002mm       37.75mm       272.5mm       37.75mm    271.8002mm       37.75mm  T        360.00 100nF          
C47        0603_[1608]          280.75mm     69.9503mm      280.75mm     69.9502mm      280.75mm     69.2503mm  B         90.00 100nF          
C46        0603_[1608]           279.5mm     69.9503mm       279.5mm     69.9502mm       279.5mm     69.2503mm  B         90.00 100nF          
C45        0603_[1608]             280mm     64.0002mm         280mm          64mm         280mm     63.3002mm  B         90.00 100nF          
C44        0603_[1608]          278.75mm     64.0002mm      278.75mm          64mm      278.75mm     63.3002mm  B         90.00 100nF          
BUZ1       buzzer_14mm_thd      278.75mm        32.5mm      278.75mm        32.5mm      282.55mm        32.5mm  B        180.00 BUZZER         
K65        TACTILE_SWITCH_GATERON_PCB         272mm       18.54mm         272mm          16mm      268.19mm       18.54mm  T          0.00 KEY0           
K64        TACTILE_SWITCH_GATERON_PCB         253mm       18.54mm         253mm          16mm      249.19mm       18.54mm  T          0.00 KEY0           
D211       R3_RGB_LED_THD          101mm       10.92mm         101mm       10.92mm      102.27mm       10.92mm  T        180.00 RBG            
D210       R3_RGB_LED_THD      69.7499mm       10.92mm     69.7499mm       10.92mm     71.0199mm       10.92mm  T        180.00 RBG            
D209       R3_RGB_LED_THD        46.25mm       10.92mm       46.25mm       10.92mm       47.52mm       10.92mm  T        180.00 RBG            
D208       R3_RGB_LED_THD         20.5mm       10.92mm        20.5mm       10.92mm       21.77mm       10.92mm  T        180.00 RBG            
D207       R3_RGB_LED_THD     262.5001mm     29.9201mm    262.5001mm     29.9201mm    263.7701mm     29.9201mm  T        180.00 RBG            
D206       R3_RGB_LED_THD     234.0001mm     29.9201mm    234.0001mm     29.9201mm    235.2701mm     29.9201mm  T        180.00 RBG            
D205       R3_RGB_LED_THD          215mm     29.9201mm         215mm     29.9201mm      216.27mm     29.9201mm  T        180.00 RBG            
D204       R3_RGB_LED_THD          196mm     29.9201mm         196mm     29.9201mm      197.27mm     29.9201mm  T        180.00 RBG            
D203       R3_RGB_LED_THD          177mm     29.9201mm         177mm     29.9201mm      178.27mm     29.9201mm  T        180.00 RBG            
D202       R3_RGB_LED_THD          158mm     29.9201mm         158mm     29.9201mm      159.27mm     29.9201mm  T        180.00 RBG            
D201       R3_RGB_LED_THD          139mm     29.9201mm         139mm     29.9201mm      140.27mm     29.9201mm  T        180.00 RBG            
D199       R3_RGB_LED_THD     120.0002mm     29.9201mm    120.0002mm     29.9201mm    121.2702mm     29.9201mm  T        180.00 RBG            
D198       R3_RGB_LED_THD     101.0001mm     29.9201mm    101.0001mm     29.9201mm    102.2701mm     29.9201mm  T        180.00 RBG            
D197       R3_RGB_LED_THD           82mm     29.9201mm          82mm     29.9201mm       83.27mm     29.9201mm  T        180.00 RBG            
D196       R3_RGB_LED_THD           63mm     29.9201mm          63mm     29.9201mm       64.27mm     29.9201mm  T        180.00 RBG            
D195       R3_RGB_LED_THD           44mm     29.9201mm          44mm     29.9201mm       45.27mm     29.9201mm  T        180.00 RBG            
D194       R3_RGB_LED_THD         20.5mm     29.9201mm        20.5mm     29.9201mm       21.77mm     29.9201mm  T        180.00 RBG            
D193       R3_RGB_LED_THD          253mm     48.9201mm         253mm     48.9201mm      254.27mm     48.9201mm  T        180.00 RBG            
D192       R3_RGB_LED_THD     234.0001mm     48.9201mm    234.0001mm     48.9201mm    235.2701mm     48.9201mm  T        180.00 RBG            
D191       R3_RGB_LED_THD          215mm     48.9201mm         215mm     48.9201mm      216.27mm     48.9201mm  T        180.00 RBG            
D190       R3_RGB_LED_THD          196mm     48.9201mm         196mm     48.9201mm      197.27mm     48.9201mm  T        180.00 RBG            
D189       R3_RGB_LED_THD          177mm     48.9201mm         177mm     48.9201mm      178.27mm     48.9201mm  T        180.00 RBG            
D188       R3_RGB_LED_THD          158mm     48.9201mm         158mm     48.9201mm      159.27mm     48.9201mm  T        180.00 RBG            
D187       R3_RGB_LED_THD          139mm     48.9201mm         139mm     48.9201mm      140.27mm     48.9201mm  T        180.00 RBG            
D186       R3_RGB_LED_THD          120mm     48.9201mm         120mm     48.9201mm      121.27mm     48.9201mm  T        180.00 RBG            
